Empresa,Circuito,Abonados,DPIR,FPI
ICE,BELEN-SARET,602,315,214
ICE,BARRANCA-PUNTARENAS 2,4758,295,196
ICE,COYOL-LLANOS,110,266,39
ICE,JACO ESTERILLOS,134,259,136
ICE,BARRANCA-URBANO,11308,235,184
ICE,JACO ESTEROS,3565,227,273
ICE,LIBERIA-PAPAGAYO,538,225,232
ICE,RIO MACHO-POSTE 70,3566,194,175
ICE,POAS-LOS LLANOS,2,161,50
ICE,JACO HERRADURA,3737,141,85
ICE,COCO-TROPICANA,8465,131,164
ICE,PALMAR-INTERAMERICANA,183,124,105
ICE,MOIN-RECOPE,1,110,100
ICE,BARRANCA-ZONA FRANCA,189,106,224
ICE,EL ESTE-VICESA,151,98,33
ICE,COCO-INDUSTRIAS,340,90,93
ICE,COYOL- INDUPARK,47,85,100
ICE,COYOL-LAGO,135,58,20
ICE,POAS-COYOL 2,3,35,33
ICE,COYOL-PROPARK,44,11,4
ICE,CONCAVAS-RIO MACHO,168,6,2
ICE,NARANJO-BARRANCA,1320,3,2
ICE,COYOL-MULTITENANT,94,2,1
ICE,COYOL-LOS CEIBOS,69,1,1
ICE,LESVILLE - ARCELOR,1,0,0
ICE,QUESADA-ZARCERO,1,0,0
ICE,COYOL-DOS PINOS,1,0,0
ICE,COYOL- PORTICO,113,0,0
ICE,POAS-PANDUIT,2,0,0
JASEC,SAN BLAS,7178,568,308
JASEC,CERRILLOS,17758,477,459
JASEC,TARAS,6833,414,273
JASEC,PARQUE INDUSTRIAL,60,370,600
JASEC,CORIS INDUSTRIAL,115,362,135
JASEC,FATIMA,9661,223,133
JASEC,COCORI,3614,162,323
JASEC,CARTAGO,8053,161,164
JASEC,GRUPO Z,1239,109,300
JASEC,TECNO PARK,59,31,100
JASEC,DATA CENTER,1,0,0
COOPELESCA,SAN FRANCISCO,2182,547,320
COOPELESCA,VENECIA,4700,496,400
COOPELESCA,CHILAMATE,2823,485,229
COOPELESCA,FLORENCIA,7306,431,308
COOPELESCA,DELICIAS,4046,419,242
COOPELESCA,TORO,395,201,140
COOPESANTOS,FIDECA,1,128,200
ALFA,SECTOR SUR,2733,348,410
ALFA,TORO,194,130,400
CNFL,DESAMPARADOS-RIO AZUL,6139,580,348
CNFL,HIGUITO-ASERRÍ,17117,570,407
CNFL,PORROSATI-SAN LORENZO,9092,553,347
CNFL,ALAJUELITA-LOS PINOS,9761,549,697
CNFL,SUR-ZAPOTE,2075,543,375
CNFL,ESTE-TRES RIOS,10427,511,569
CNFL,ELECTRIONA-POTRERILLOS,6350,509,565
CNFL,"DESAMPARADOS-SAN
ANTONIO",12830,509,485
CNFL,SUBTERRANEO URUCA-4A,1361,508,100
CNFL,BELEN-SAN JUAN,772,489,413
CNFL,HIGUITO-HIGUERONES,10965,485,342
CNFL,"SAN MIGUEL-SANTO
TOMAS",9527,483,606
CNFL,CORONADO SAN JERONIMO,10094,482,417
CNFL,CAJA-CALLE RUSIA,2906,481,640
CNFL,ANONOS-MATA REDONDA,1826,478,385
CNFL,DESAMPARADOS-PORVENIR,1846,473,575
CNFL,ESTE-CONCEPCION,11916,439,161
CNFL,"SAN MIGUEL-SANTO
DOMINGO",8202,434,313
CNFL,COLIMA-GUADALUPE 1,2459,425,653
CNFL,ESCAZU-MULTIPLAZA,1641,422,315
CNFL,ANONOS-CIMA,1961,422,132
CNFL,SABANILLA-SAN MARINO,12949,387,404
CNFL,LINDORA-OJO DE AGUA,5840,387,395
CNFL,CURRIDABAT-CENTRAL,6112,376,475
CNFL,ALAJUELITA-EL LLANO,6482,372,483
CNFL,SUR-DESAMPARADOS,3149,360,539
CNFL,ANONOS-SABANA,2883,344,285
CNFL,SABANILLA-MIRAFLORES,3490,334,517
CNFL,ESTE-PINARES,4315,331,188
CNFL,DESAMPARADOS-CENTRAL,2560,320,380
CNFL,SAN MIGUEL-LLORENTE,14550,312,310
CNFL,"URUCA-BARRIO DON
BOSCO",2896,312,482
CNFL,SUR-SAN CAYETANO,4897,302,657
CNFL,SAN MIGUEL-SAN LUIS,3650,281,347
CNFL,PRIMER AMOR-VALENCIA,26,238,482
CNFL,CORONADO-SAN ISIDRO,10014,238,356
CNFL,SABANILLA-LOURDES,7266,232,320
CNFL,"SUBTERRANEO
GUADALUPE-3A",408,230,101
CNFL,URUCA-BARRIO MEXICO,2570,212,288
CNFL,SABANILLA-GUADALUPE,6865,201,263
CNFL,LINDORA-RADIAL,3054,197,125
CNFL,"SUBTERRANEO LOS
ANGELES-3A",421,187,101
CNFL,ANONOS-AYALA,7373,181,92
CNFL,"GUADALUPE-SANTA
TERESITA",3156,171,536
CNFL,CORONADO-SAN BLAS,9050,156,144
CNFL,BELEN-SUBTERRANEO 1,2,137,100
CNFL,ALAJUELITA-MORENOS,3830,128,417
CNFL,"BELEN-ZONA FRANCA
AMERICA",170,112,100
CNFL,URUCA-SANTA ROSA,3514,112,365
CNFL,BRASIL-VENTANAS,1,92,200
CNFL,CAJA-LOMAS,446,89,130
CNFL,COLIMA-TIBAS,8761,74,215
CNFL,COLIMA-URUCA,4,67,200
CNFL,GUADALUPE-SAN VICENTE,227,64,314
CNFL,CAJA-ELECTRIONA 2,1,44,200
CNFL,LINDORA-HONDURA,398,18,97
CNFL,"SUBTERRANEO LOS
ANGELES-1B",282,18,16
CNFL,COLIMA-PIUSES,2641,6,4
CNFL,"SUBTERRANEO LOS
ANGELES-4B",793,4,3
CNFL,"SUBTERRANEO GUADALUPE
2B",518,0,0
CNFL,"SUBTERRANEO
GUADALUPE-1A",543,0,0
CNFL,"SUBTERRANEO
GUADALUPE-1B",634,0,0
CNFL,"SUBTERRANEO
GUADALUPE-2A",738,0,0
CNFL,"SUBTERRANEO
GUADALUPE-3B",534,0,0
CNFL,"SUBTERRANEO
GUADALUPE-4A",563,0,0
CNFL,"SUBTERRANEO
GUADALUPE-4B",1125,0,0
CNFL,"SUBTERRANEO LOS
ANGELES-1A",522,0,0
CNFL,"SUBTERRANEO LOS
ANGELES-2A",775,0,0
CNFL,"SUBTERRANEO LOS
ANGELES-2B",865,0,0
CNFL,"SUBTERRANEO LOS
ANGELES-3B",263,0,0
CNFL,SUBTERRANEO URUCA-1A,1164,0,0
CNFL,SUBTERRANEO URUCA-1B,580,0,0
CNFL,SUBTERRANEO URUCA-2A,246,0,0
CNFL,SUBTERRANEO URUCA-2B,1,0,0
CNFL,SUBTERRANEO URUCA-3A,262,0,0
CNFL,SUBTERRANEO URUCA-3B,236,0,0
CNFL,SUBTERRANEO URUCA-4B,704,0,0
ESPH,INDUSTRIAL,2784,461,295
ESPH,NORTE,27917,425,630
ESPH,LAS FLORES,34043,424,640
ESPH,SAN ISIDRO,8836,402,281
ESPH,ZFM,658,386,355
ESPH,SAN VICENTE,1266,374,354
ESPH,ESTE,1494,216,24
ESPH,SAN RAFAEL,6784,126,157
ESPH,SUR,5189,87,67
ESPH,HOSPIRA,105,20,98
GUANA,GUAYABAL-SANTA CRUZ,5824,589,602
GUANA,NUEVO COLON-OCOTAL,5742,496,610
GUANA,GUAYABAL-NICOYA,10921,472,697
GUANA,NUEVO COLON-POTRERO,2849,470,515
GUANA,SANTA RITA-HOJANCHA,9688,455,542
GUANA,#N/D,892,449,355
GUANA,GUAYABAL-SANTA BARBARA,5675,420,613
GUANA,GUAYABAL-FILADELFIA,11490,388,596
GUANA,"NUEVO COLON-PLAYA
MATAPALO",150,357,357
GUANA,"NUEVO COLON-PLAYA
HERMOSA",9978,293,553
ICE,NARANJO-LA ARGENTINA,1546,597,326
ICE,JACO HERMOSA,2122,578,567
ICE,NARANJO-SAN RAMON,58034,573,425
ICE,POAS-MESON,53186,572,497
ICE,BELEN-ALAJUELA,30974,565,351
ICE,BARRANCA-ESPARZA,22604,558,622
ICE,BARRANCA-URBANO,20700,515,507
ICE,GARITA-CEBADILLA,3202,503,372
ICE,TRAPICHE - POCORA,13545,502,454
ICE,PAPAGAYO-PAPAGAYO 2,404,473,143
ICE,BELEN-SARET,1204,454,193
ICE,NARANJO-ESTADIO,10133,454,239
ICE,COCO-ALAJUELA,11247,440,217
ICE,RIO MACHO-POSTE 70,6987,437,261
ICE,GARITA-SIQUIARES,904,417,255
ICE,JACO ESTEROS,5568,402,635
ICE,MOIN-MUELLE ALEMAN,25090,392,260
ICE,SAN ISIDRO-INDUSTRIAS,11496,391,424
ICE,CONCAVAS-LA LUCHA,92,385,223
ICE,CACHI-POSTE 70,6615,380,237
ICE,POAS-POAS,9563,370,325
ICE,COCO-DULCE NOMBRE,20854,359,258
ICE,JUANILAMA-OROTINA,20590,346,378
ICE,RIO CLARO-CIUDAD NEILY,20548,303,395
ICE,TRAPICHE - LA PISTA,2358,302,460
ICE,BARRANCA-PUNTARENAS 2,9020,298,420
ICE,RIO MACHO-EL LLANO,60,297,111
ICE,COCO-RECOPE,346,282,271
ICE,POAS-LOS LLANOS,26,256,154
ICE,JUANILAMA-INDUSTRIAS,1064,247,171
ICE,SAN ISIDRO-URBANO,23820,246,228
ICE,COYOL-LAGO,270,239,260
ICE,RIO MACHO-DOS AMIGOS,434,220,116
ICE,COYOL-CIRUELAS,184,209,67
ICE,LESVILLE - ARCELOR,2,182,100
ICE,POAS-PANDUIT,4,172,100
ICE,COYOL-LLANOS,166,155,143
ICE,TURRIALBA-RECOPE,11097,134,177
ICE,NARANJO-BARRANCA,2550,129,513
ICE,CONCAVAS-TRES RIOS,12,125,67
ICE,POAS-COYOL 2,3,108,134
ICE,COYOL-RECOPE,70,94,50
ICE,COCO-INDUSTRIAS,680,71,97
ICE,MOIN – APM_TERMINALS,306,63,46
ICE,BARRANCA-ZONA FRANCA,40,62,130
ICE,COYOL- INDUPARK,186,46,112
ICE,CONCAVAS-RIO MACHO,336,43,46
ICE,COYOL-PROPARK,52,29,26
ICE,PALMAR-INTERAMERICANA,292,26,22
ICE,COCO-TECNOPARQUES,284,25,108
ICE,MOIN-RECOPE,2,17,100
ICE,COYOL-DOS PINOS,2,15,100
ICE,EL ESTE-VICESA,233,12,2
ICE,COYOL-LOS CEIBOS,71,9,50
ICE,COYOL- PORTICO,124,1,9
ICE,COYOL-MULTITENANT,112,1,6
JASEC,PACAYAS,9851,407,153
JASEC,SAN ISIDRO,2534,405,220
JASEC,QUEBRADILLA,7069,355,238
JASEC,PARAISO,11770,294,110
JASEC,TARAS,6492,275,243
JASEC,SAN BLAS,6827,255,326
JASEC,CERRILLOS,17332,227,224
JASEC,CORIS INDUSTRIAL,114,216,68
JASEC,CARTAGO,7674,215,223
JASEC,TEJAR-GUADALUPE,13117,149,136
JASEC,FATIMA,9401,145,219
JASEC,OCHOMOGO,4061,138,190
JASEC,GRUPO Z,1233,82,18
JASEC,PARQUE INDUSTRIAL,54,81,113
JASEC,COCORI,3543,27,13
JASEC,DATA CENTER,1,0,0
JASEC,TECNO PARK,48,0,0
LESCA,VIRGEN,3803,527,441
LESCA,TORO,383,494,260
LESCA,PUERTO VIEJO,2410,481,258
LESCA,PITAL,5014,434,340
LESCA,PLATANAR,3918,424,278
SANTOS,FIDECA,3,45,300
